Date,Hour,load,T
37995.00,5,,-7
37995.00,6,,-7.67
37995.00,7,,-8
37995.00,8,,-9
37995.00,9,,-9
37995.00,10,,-7.67
37995.00,11,,-5.33
37995.00,12,,-4.33
37995.00,13,,-3
37995.00,14,,-1.33
37995.00,15,,0.67
37995.00,16,,1.33
37995.00,17,,0.67
37995.00,18,,-1.33
37995.00,19,,-2.33
37995.00,20,,-2.67
37995.00,21,,-3
37995.00,22,,-3.33
37995.00,23,,-4
37995.00,24,,-4.67
37996.00,1,,-5.33
37996.00,2,,-5.67
37996.00,3,,-6.33
37996.00,4,,-6.33
37996.00,5,,-6.33
37996.00,6,,-6.67
37996.00,7,,-6.33
37996.00,8,,-8.33
37996.00,9,,-7
37996.00,10,,-5
37996.00,11,,-2
37996.00,12,,0
37996.00,13,,2
37996.00,14,,4
37996.00,15,,5.33
37996.00,16,,6
37996.00,17,,5
37996.00,18,,3.33
37996.00,19,,2.33
37996.00,20,,0.67
37996.00,21,,-0.33
37996.00,22,,-1
37996.00,23,,-2
37996.00,24,,-3
37997.00,1,,-4
37997.00,2,,-4.33
37997.00,3,,-5.67
37997.00,4,,-6.33
37997.00,5,,-6.67
37997.00,6,,-5.67
37997.00,7,,-6.33
37997.00,8,,-4.67
37997.00,9,,-2
37997.00,10,,1
37997.00,11,,3.33
37997.00,12,,6.33
37997.00,13,,9
37997.00,14,,11.67
37997.00,15,,13
37997.00,16,,14.67
37997.00,17,,15.33
37997.00,18,,16.33
37997.00,19,,16.67
37997.00,20,,17
37997.00,21,,17.67
37997.00,22,,18.33
37997.00,23,,19.33
37997.00,24,,19.67
37998.00,1,,20
37998.00,2,,20.33
37998.00,3,,20
37998.00,4,,19.67
37998.00,5,,19.33
37998.00,6,,19.33
37998.00,7,,19.33
37998.00,8,,18.67
37998.00,9,,18.33
37998.00,10,,19.33
37998.00,11,,21.33
37998.00,12,,20.67
37998.00,13,,21.33
37998.00,14,,23
37998.00,15,,22.67
37998.00,16,,22.67
37998.00,17,,22.33
37998.00,18,,21.67
37998.00,19,,21
37998.00,20,,19.67
37998.00,21,,19.33
37998.00,22,,19
37998.00,23,,19.67
37998.00,24,,19
37999.00,1,,18
37999.00,2,,15.67
37999.00,3,,16.67
37999.00,4,,15
37999.00,5,,14
37999.00,6,,13.67
37999.00,7,,15
37999.00,8,,17.67
37999.00,9,,19
37999.00,10,,22.67
37999.00,11,,24.67
37999.00,12,,27
37999.00,13,,29.33
37999.00,14,,29.67
37999.00,15,,29
37999.00,16,,26.33
37999.00,17,,21.67
37999.00,18,,16
37999.00,19,,12.67
37999.00,20,,9.67
37999.00,21,,6.33
37999.00,22,,2.67
37999.00,23,,-0.33
37999.00,24,,-2.67
38000.00,1,,-4.33
38000.00,2,,-6.33
38000.00,3,,-7.67
38000.00,4,,-9.33
38000.00,5,,-10
38000.00,6,,-11
38000.00,7,,-11.67
38000.00,8,,-12.33
38000.00,9,,-12.33
38000.00,10,,-11.67
38000.00,11,,-9.33
38000.00,12,,-8
38000.00,13,,-5.67
38000.00,14,,-4.33
38000.00,15,,-3
38000.00,16,,-3.33
38000.00,17,,-4
38000.00,18,,-4.33
38000.00,19,,-5
38000.00,20,,-5.67
38000.00,21,,-6
38000.00,22,,-6.33
38000.00,23,,-7
38000.00,24,,-7
38001.00,1,,-7.33
38001.00,2,,-7
38001.00,3,,-7.67
38001.00,4,,-7.67
38001.00,5,,-8.33
38001.00,6,,-8.67
38001.00,7,,-10.33
38001.00,8,,-10
38001.00,9,,-10.33
38001.00,10,,-9
38001.00,11,,-6.67
38001.00,12,,-5.33
38001.00,13,,-4
38001.00,14,,-3
38001.00,15,,-2.33
38001.00,16,,-2.67
38001.00,17,,-3.33
38001.00,18,,-5
38001.00,19,,-7
38001.00,20,,-7.67
38001.00,21,,-8.67
38001.00,22,,-9.33
38001.00,23,,-10
38001.00,24,,-10.67
38002.00,1,,-10.33
38002.00,2,,-10.33
38002.00,3,,-10.67
38002.00,4,,-10.67
38002.00,5,,-10
38002.00,6,,-9.67
38002.00,7,,-9.33
38002.00,8,,-8.67
38002.00,9,,-7
38002.00,10,,-4.67
38002.00,11,,-1.67
38002.00,12,,1
38002.00,13,,4
38002.00,14,,6.33
38002.00,15,,8
38002.00,16,,8.67
38002.00,17,,9.33
38002.00,18,,8.33
38002.00,19,,8
38002.00,20,,8.33
38002.00,21,,7.67
38002.00,22,,8.33
38002.00,23,,8.33
38002.00,24,,9.33
38003.00,1,,10
38003.00,2,,10.67
38003.00,3,,11.33
38003.00,4,,11.33
38003.00,5,,12
38003.00,6,,10.67
38003.00,7,,9.67
38003.00,8,,9.67
38003.00,9,,10
38003.00,10,,12.67
38003.00,11,,15.33
38003.00,12,,18.33
38003.00,13,,21.33
38003.00,14,,22.67
38003.00,15,,24.67
38003.00,16,,26
38003.00,17,,24.67
38003.00,18,,23.67
38003.00,19,,21
38003.00,20,,19.67
38003.00,21,,19.33
38003.00,22,,19
38003.00,23,,18.33
38003.00,24,,19
38004.00,1,,18.67
38004.00,2,,20
38004.00,3,,20.67
38004.00,4,,21
38004.00,5,,21
38004.00,6,,21.67
38004.00,7,,22.33
38004.00,8,,23.67
38004.00,9,,25.67
38004.00,10,,26.67
38004.00,11,,27.33
38004.00,12,,28
38004.00,13,,28
38004.00,14,,28.33
38004.00,15,,28.33
38004.00,16,,28.33
38004.00,17,,28
38004.00,18,,27
38004.00,19,,25
38004.00,20,,24.33
38004.00,21,,23.33
38004.00,22,,21
38004.00,23,,20.33
38004.00,24,,17.67
38005.00,1,,18.67
38005.00,2,,19.33
38005.00,3,,19
38005.00,4,,16.67
38005.00,5,,13.33
38005.00,6,,15
38005.00,7,,16.33
38005.00,8,,15.67
38005.00,9,,15.33
38005.00,10,,15.67
38005.00,11,,16
38005.00,12,,17.67
38005.00,13,,18.67
38005.00,14,,19
38005.00,15,,19.67
38005.00,16,,19
38005.00,17,,18.33
38005.00,18,,17.33
38005.00,19,,16.33
38005.00,20,,15.67
38005.00,21,,15
38005.00,22,,14.67
38005.00,23,,14
38005.00,24,,13
38006.00,1,,13.67
38006.00,2,,14.33
38006.00,3,,14
38006.00,4,,16
38006.00,5,,13
38006.00,6,,13.33
38006.00,7,,12.67
38006.00,8,,11.67
38006.00,9,,12
38006.00,10,,15
38006.00,11,,17.33
38006.00,12,,18
38006.00,13,,19.33
38006.00,14,,20
38006.00,15,,20.67
38006.00,16,,21.33
38006.00,17,,19.67
38006.00,18,,17.33
38006.00,19,,15
38006.00,20,,13.67
38006.00,21,,13.67
38006.00,22,,13
38006.00,23,,13
38006.00,24,,12.67
38007.00,1,,11.67
38007.00,2,,11.33
38007.00,3,,10.67
38007.00,4,,10
38007.00,5,,9.67
38007.00,6,,9.33
38007.00,7,,9.33
38007.00,8,,9.33
38007.00,9,,10.67
38007.00,10,,12.67
38007.00,11,,16.33
38007.00,12,,17.33
38007.00,13,,19
38007.00,14,,20.67
38007.00,15,,21.33
38007.00,16,,22
38007.00,17,,22
38007.00,18,,20.33
38007.00,19,,17.33
38007.00,20,,14
38007.00,21,,10.67
38007.00,22,,8.67
38007.00,23,,7.67
38007.00,24,,7.67
38008.00,1,,7.33
38008.00,2,,9.67
38008.00,3,,11
38008.00,4,,12.67
38008.00,5,,13
38008.00,6,,13
38008.00,7,,13
38008.00,8,,14.67
38008.00,9,,13.67
38008.00,10,,16.33
38008.00,11,,18.67
38008.00,12,,20.67
38008.00,13,,22.67
38008.00,14,,24.67
38008.00,15,,25.67
38008.00,16,,25.67
38008.00,17,,25.67
38008.00,18,,24
38008.00,19,,22.67
38008.00,20,,22
38008.00,21,,21
38008.00,22,,20
38008.00,23,,18
38008.00,24,,17
38009.00,1,,15.33
38009.00,2,,13.67
38009.00,3,,12.67
38009.00,4,,11.33
38009.00,5,,10.33
38009.00,6,,9
38009.00,7,,8
38009.00,8,,7.33
38009.00,9,,7.33
38009.00,10,,8.67
38009.00,11,,9.33
38009.00,12,,10.33
38009.00,13,,11.67
38009.00,14,,12.67
38009.00,15,,12.67
38009.00,16,,12.33
38009.00,17,,11
38009.00,18,,8.67
38009.00,19,,8.33
38009.00,20,,7
38009.00,21,,6.33
38009.00,22,,4.67
38009.00,23,,3.67
38009.00,24,,3.33
38010.00,1,,1.67
38010.00,2,,-0.67
38010.00,3,,-3.33
38010.00,4,,-5.67
38010.00,5,,-6.33
38010.00,6,,-6.33
38010.00,7,,-8
38010.00,8,,-6.67
38010.00,9,,-5.67
38010.00,10,,-1.33
38010.00,11,,2.67
38010.00,12,,5
38010.00,13,,6.67
38010.00,14,,7.67
38010.00,15,,9
38010.00,16,,8
38010.00,17,,7
38010.00,18,,5.67
38010.00,19,,4
38010.00,20,,2.67
38010.00,21,,1.67
38010.00,22,,1
38010.00,23,,-0.33
38010.00,24,,-2.33
38011.00,1,,-3.33
38011.00,2,,-4.33
38011.00,3,,-5
38011.00,4,,-5.67
38011.00,5,,-6
38011.00,6,,-6
38011.00,7,,-7.33
38011.00,8,,-7.67
38011.00,9,,-7.33
38011.00,10,,-5.33
38011.00,11,,-2.33
38011.00,12,,0.33
38011.00,13,,3
38011.00,14,,5
38011.00,15,,7
38011.00,16,,8.33
38011.00,17,,7.67
38011.00,18,,6
38011.00,19,,4.33
38011.00,20,,1.33
38011.00,21,,-1.33
38011.00,22,,-3.33
38011.00,23,,-4
38011.00,24,,-4.33
38012.00,1,,-4.67
38012.00,2,,-6
38012.00,3,,-6.67
38012.00,4,,-6.67
38012.00,5,,-6.33
38012.00,6,,-6.67
38012.00,7,,-6.33
38012.00,8,,-5.67
38012.00,9,,-5
38012.00,10,,-1.67
38012.00,11,,2.33
38012.00,12,,6
38012.00,13,,8.33
38012.00,14,,10
38012.00,15,,11
38012.00,16,,11
38012.00,17,,10
38012.00,18,,8
38012.00,19,,7.33
38012.00,20,,6
38012.00,21,,4.67
38012.00,22,,4
38012.00,23,,3.33
38012.00,24,,2.67
38013.00,1,,1
38013.00,2,,2
38013.00,3,,2.33
38013.00,4,,2
38013.00,5,,1
38013.00,6,,0.33
38013.00,7,,0
38013.00,8,,0
38013.00,9,,0.67
38013.00,10,,3
38013.00,11,,7
38013.00,12,,11
38013.00,13,,14
38013.00,14,,15.67
38013.00,15,,17
38013.00,16,,17.67
38013.00,17,,17.33
38013.00,18,,16.33
38013.00,19,,16.33
38013.00,20,,16.33
38013.00,21,,17
38013.00,22,,16.67
38013.00,23,,16.33
38013.00,24,,14.67
38014.00,1,,15
38014.00,2,,14.33
38014.00,3,,16
38014.00,4,,15.67
38014.00,5,,15.67
38014.00,6,,15.33
38014.00,7,,15
38014.00,8,,15
38014.00,9,,15
38014.00,10,,15
38014.00,11,,15.33
38014.00,12,,14.67
38014.00,13,,16
38014.00,14,,17.33
38014.00,15,,18
38014.00,16,,19
38014.00,17,,20
38014.00,18,,19.33
38014.00,19,,18
38014.00,20,,18
38014.00,21,,17.33
38014.00,22,,17
38014.00,23,,18
38014.00,24,,17.33
38015.00,1,,17
38015.00,2,,16
38015.00,3,,16
38015.00,4,,16.67
38015.00,5,,16
38015.00,6,,15.67
38015.00,7,,17
38015.00,8,,17.33
38015.00,9,,17.67
38015.00,10,,19
38015.00,11,,21
38015.00,12,,21.33
38015.00,13,,22
38015.00,14,,21.67
38015.00,15,,22.33
38015.00,16,,22.33
38015.00,17,,21.33
38015.00,18,,19.67
38015.00,19,,18.67
38015.00,20,,18
38015.00,21,,17.33
38015.00,22,,16
38015.00,23,,15.33
38015.00,24,,14.67
38016.00,1,,13.67
38016.00,2,,13
38016.00,3,,11.67
38016.00,4,,10.67
38016.00,5,,11
38016.00,6,,10.33
38016.00,7,,10.33
38016.00,8,,11
38016.00,9,,11.33
38016.00,10,,13.67
38016.00,11,,15.33
38016.00,12,,17.33
38016.00,13,,18.67
38016.00,14,,19.33
38016.00,15,,20.33
38016.00,16,,19.67
38016.00,17,,18.67
38016.00,18,,17.33
38016.00,19,,16.33
38016.00,20,,15.67
38016.00,21,,15
38016.00,22,,14.33
38016.00,23,,12.33
38016.00,24,,11
38017.00,1,,11
38017.00,2,,10
38017.00,3,,7.33
38017.00,4,,6.33
38017.00,5,,7
38017.00,6,,4.33
38017.00,7,,4.33
38017.00,8,,6
38017.00,9,,6.67
38017.00,10,,9.67
38017.00,11,,11
38017.00,12,,12.67
38017.00,13,,14.67
38017.00,14,,17
38017.00,15,,18.33
38017.00,16,,18.33
38017.00,17,,18.33
38017.00,18,,16.67
38017.00,19,,14.67
38017.00,20,,14.33
38017.00,21,,13.33
38017.00,22,,12.33
38017.00,23,,12
38017.00,24,,11.67
38018.00,1,,11.33
38018.00,2,,10.67
38018.00,3,,9.33
38018.00,4,,8.67
38018.00,5,,9
38018.00,6,,9.67
38018.00,7,,9
38018.00,8,,8.33
38018.00,9,,9.67
38018.00,10,,13.67
38018.00,11,,18.67
38018.00,12,,22.33
38018.00,13,,24.67
38018.00,14,,26.67
38018.00,15,,29
38018.00,16,,30.33
38018.00,17,,29
38018.00,18,,27
38018.00,19,,25.67
38018.00,20,,24
38018.00,21,,24.67
38018.00,22,,23.67
38018.00,23,,22.67
38018.00,24,,19.33
38019.00,1,,17
38019.00,2,,16
38019.00,3,,15.33
38019.00,4,,16.33
38019.00,5,,14
38019.00,6,,13.67
38019.00,7,,13.33
38019.00,8,,11.67
38019.00,9,,12.33
38019.00,10,,17.67
38019.00,11,,23.67
38019.00,12,,28.33
38019.00,13,,30.67
38019.00,14,,32
38019.00,15,,34
38019.00,16,,33.67
38019.00,17,,33.33
38019.00,18,,29.33
38019.00,19,,26
38019.00,20,,23.33
38019.00,21,,21.33
38019.00,22,,19
38019.00,23,,18
38019.00,24,,16.33
38020.00,1,,14
38020.00,2,,14
38020.00,3,,13.33
38020.00,4,,13.33
38020.00,5,,12
38020.00,6,,16
38020.00,7,,14.33
38020.00,8,,15
38020.00,9,,16
38020.00,10,,22
38020.00,11,,25
38020.00,12,,26.67
38020.00,13,,28.33
38020.00,14,,29.33
38020.00,15,,30.33
38020.00,16,,31.33
38020.00,17,,32
38020.00,18,,31
38020.00,19,,30.33
38020.00,20,,30
38020.00,21,,30.33
38020.00,22,,31
38020.00,23,,32
38020.00,24,,31.67
38021.00,1,,32.33
38021.00,2,,32.67
38021.00,3,,34
38021.00,4,,34.33
38021.00,5,,32.67
38021.00,6,,31
38021.00,7,,30.33
38021.00,8,,29.67
38021.00,9,,32.33
38021.00,10,,35.33
38021.00,11,,36.33
38021.00,12,,35.67
38021.00,13,,36.67
38021.00,14,,37.33
38021.00,15,,37.33
38021.00,16,,36
38021.00,17,,34.67
38021.00,18,,32.33
38021.00,19,,30.33
38021.00,20,,29
38021.00,21,,27.67
38021.00,22,,27.67
38021.00,23,,26.67
38021.00,24,,26
38022.00,1,,25.33
38022.00,2,,24.33
38022.00,3,,24
38022.00,4,,24
38022.00,5,,22.67
38022.00,6,,22.67
38022.00,7,,21.67
38022.00,8,,21.33
38022.00,9,,21.33
38022.00,10,,22
38022.00,11,,24.33
38022.00,12,,26.33
38022.00,13,,27.33
38022.00,14,,28.67
38022.00,15,,29.67
38022.00,16,,29.67
38022.00,17,,28.67
38022.00,18,,28
38022.00,19,,26.33
38022.00,20,,25
38022.00,21,,24.33
38022.00,22,,24
38022.00,23,,22.67
38022.00,24,,23
38023.00,1,,23
38023.00,2,,22.67
38023.00,3,,22
38023.00,4,,21.67
38023.00,5,,20.67
38023.00,6,,22
38023.00,7,,22
38023.00,8,,22
38023.00,9,,22.67
38023.00,10,,23
38023.00,11,,24
38023.00,12,,23.67
38023.00,13,,22.67
38023.00,14,,24.33
38023.00,15,,26.67
38023.00,16,,28
38023.00,17,,26.67
38023.00,18,,27.33
38023.00,19,,27.33
38023.00,20,,27.33
38023.00,21,,27.67
38023.00,22,,28.33
38023.00,23,,27.67
38023.00,24,,28.67
38024.00,1,,27.67
38024.00,2,,27.33
38024.00,3,,27.67
38024.00,4,,27.67
38024.00,5,,27.33
38024.00,6,,28
38024.00,7,,28.33
38024.00,8,,28.33
38024.00,9,,28.67
38024.00,10,,29.33
38024.00,11,,29.67
38024.00,12,,30
38024.00,13,,31.33
38024.00,14,,32.67
38024.00,15,,32
38024.00,16,,32.33
38024.00,17,,31.67
38024.00,18,,29.67
38024.00,19,,29.67
38024.00,20,,29
38024.00,21,,27
38024.00,22,,24
38024.00,23,,21.33
38024.00,24,,19.33
38025.00,1,,17.67
38025.00,2,,16.33
38025.00,3,,14.33
38025.00,4,,14
38025.00,5,,12.33
38025.00,6,,11
38025.00,7,,10
38025.00,8,,8
38025.00,9,,7
38025.00,10,,8.33
38025.00,11,,10.33
38025.00,12,,12.67
38025.00,13,,15
38025.00,14,,16.67
38025.00,15,,18
38025.00,16,,18.67
38025.00,17,,19.33
38025.00,18,,19
38025.00,19,,17.67
38025.00,20,,17
38025.00,21,,16
38025.00,22,,17.33
38025.00,23,,18.33
38025.00,24,,17.67
38026.00,1,,17.67
38026.00,2,,17
38026.00,3,,16.33
38026.00,4,,15.33
38026.00,5,,14.67
38026.00,6,,13.67
38026.00,7,,13
38026.00,8,,13
38026.00,9,,14.33
38026.00,10,,18
38026.00,11,,23.33
38026.00,12,,27
38026.00,13,,29.33
38026.00,14,,31.67
38026.00,15,,34
38026.00,16,,35.67
38026.00,17,,36.33
38026.00,18,,35.67
38026.00,19,,36
38026.00,20,,36.67
38026.00,21,,36
38026.00,22,,35.67
38026.00,23,,35
38026.00,24,,34.33
38027.00,1,,33.67
38027.00,2,,32.67
38027.00,3,,32.33
38027.00,4,,32
38027.00,5,,31.67
38027.00,6,,31
38027.00,7,,30
38027.00,8,,28
38027.00,9,,30.33
38027.00,10,,33
38027.00,11,,36
38027.00,12,,38.33
38027.00,13,,38.67
38027.00,14,,39
38027.00,15,,38.67
38027.00,16,,39
38027.00,17,,38.67
38027.00,18,,37.67
38027.00,19,,34.67
38027.00,20,,32.33
38027.00,21,,30.67
38027.00,22,,31
38027.00,23,,29.67
38027.00,24,,30.33
38028.00,1,,30.33
38028.00,2,,31
38028.00,3,,30
38028.00,4,,29.33
38028.00,5,,30
38028.00,6,,28.67
38028.00,7,,28.33
38028.00,8,,26.67
38028.00,9,,28
38028.00,10,,29.67
38028.00,11,,29
38028.00,12,,29.33
38028.00,13,,29.33
38028.00,14,,30.33
38028.00,15,,28.33
38028.00,16,,28.33
38028.00,17,,27
38028.00,18,,24.33
38028.00,19,,22.33
38028.00,20,,21
38028.00,21,,19
38028.00,22,,17.67
38028.00,23,,16
38028.00,24,,14
38029.00,1,,13.33
38029.00,2,,12.33
38029.00,3,,10.33
38029.00,4,,7.67
38029.00,5,,7.67
38029.00,6,,7.33
38029.00,7,,6.33
38029.00,8,,7.67
38029.00,9,,11.33
38029.00,10,,13.33
38029.00,11,,17.33
38029.00,12,,19.33
38029.00,13,,23.33
38029.00,14,,25
38029.00,15,,27.67
38029.00,16,,29
38029.00,17,,28.67
38029.00,18,,27
38029.00,19,,26.33
38029.00,20,,25.33
38029.00,21,,25
38029.00,22,,23.67
38029.00,23,,21.67
38029.00,24,,21.33
38030.00,1,,19.33
38030.00,2,,19.67
38030.00,3,,21.33
38030.00,4,,20.67
38030.00,5,,22.33
38030.00,6,,22.33
38030.00,7,,26
38030.00,8,,25
38030.00,9,,27.33
38030.00,10,,30.33
38030.00,11,,32.33
38030.00,12,,33.67
38030.00,13,,35
38030.00,14,,36
38030.00,15,,37.33
38030.00,16,,37.33
38030.00,17,,37.33
38030.00,18,,36.67
38030.00,19,,34.33
38030.00,20,,33.33
38030.00,21,,31
38030.00,22,,30
38030.00,23,,30.67
38030.00,24,,31.33
38031.00,1,,30.33
38031.00,2,,30.33
38031.00,3,,30.33
38031.00,4,,31
38031.00,5,,31.33
38031.00,6,,30.67
38031.00,7,,31.33
38031.00,8,,29.67
38031.00,9,,30.67
38031.00,10,,32.33
38031.00,11,,32.33
38031.00,12,,34.33
38031.00,13,,36
38031.00,14,,37
38031.00,15,,37.33
38031.00,16,,34.67
38031.00,17,,33.67
38031.00,18,,31.67
38031.00,19,,29.67
38031.00,20,,27.67
38031.00,21,,26.33
38031.00,22,,25
38031.00,23,,22.33
38031.00,24,,20.33
38032.00,1,,18
38032.00,2,,16
38032.00,3,,14.33
38032.00,4,,12.33
38032.00,5,,9.67
38032.00,6,,6.67
38032.00,7,,4.67
38032.00,8,,2
38032.00,9,,2
38032.00,10,,3
38032.00,11,,5
38032.00,12,,7
38032.00,13,,9
38032.00,14,,10
38032.00,15,,12.33
38032.00,16,,13
38032.00,17,,13
38032.00,18,,12.67
38032.00,19,,10.33
38032.00,20,,9
38032.00,21,,7.33
38032.00,22,,4
38032.00,23,,2.33
38032.00,24,,1.33
38033.00,1,,-0.67
38033.00,2,,-1.33
38033.00,3,,-3
38033.00,4,,-3.33
38033.00,5,,-6.33
38033.00,6,,-6
38033.00,7,,-7.33
38033.00,8,,-7.33
38033.00,9,,-4
38033.00,10,,3
38033.00,11,,11.33
38033.00,12,,15
38033.00,13,,17.33
38033.00,14,,19.33
38033.00,15,,20.67
38033.00,16,,21.67
38033.00,17,,21.67
38033.00,18,,20.33
38033.00,19,,17.33
38033.00,20,,16.33
38033.00,21,,14
38033.00,22,,12.33
38033.00,23,,10.67
38033.00,24,,8
38034.00,1,,6
38034.00,2,,4
38034.00,3,,2.67
38034.00,4,,1.67
38034.00,5,,-0.33
38034.00,6,,-0.67
38034.00,7,,-1
38034.00,8,,-2
38034.00,9,,1.33
38034.00,10,,7
38034.00,11,,11
38034.00,12,,15.67
38034.00,13,,18
38034.00,14,,21
38034.00,15,,22.33
38034.00,16,,23
38034.00,17,,23.67
38034.00,18,,23.33
38034.00,19,,23.33
38034.00,20,,23.33
38034.00,21,,23
38034.00,22,,22
38034.00,23,,21
38034.00,24,,20.33
38035.00,1,,20
38035.00,2,,20.33
38035.00,3,,18.33
38035.00,4,,16.67
38035.00,5,,15.33
38035.00,6,,15
38035.00,7,,14
38035.00,8,,13
38035.00,9,,14
38035.00,10,,16.33
38035.00,11,,20.33
38035.00,12,,23.67
38035.00,13,,27.67
38035.00,14,,30.67
38035.00,15,,31.33
38035.00,16,,32
38035.00,17,,32
38035.00,18,,30.33
38035.00,19,,27.33
38035.00,20,,26.33
38035.00,21,,24.67
38035.00,22,,22
38035.00,23,,20.67
38035.00,24,,18.33
38036.00,1,,19
38036.00,2,,19
38036.00,3,,19.33
38036.00,4,,19
38036.00,5,,17.67
38036.00,6,,18.33
38036.00,7,,18.33
38036.00,8,,20.33
38036.00,9,,22.67
38036.00,10,,25
38036.00,11,,27
38036.00,12,,29
38036.00,13,,30.67
38036.00,14,,31.67
38036.00,15,,32.33
38036.00,16,,32.67
38036.00,17,,32.67
38036.00,18,,31.33
38036.00,19,,29.33
38036.00,20,,27.67
38036.00,21,,26.67
38036.00,22,,24.33
38036.00,23,,23.67
38036.00,24,,23
38037.00,1,,22
38037.00,2,,20.33
38037.00,3,,21
38037.00,4,,19.67
38037.00,5,,19.33
38037.00,6,,19
38037.00,7,,18.67
38037.00,8,,17.33
38037.00,9,,22
38037.00,10,,27.33
38037.00,11,,30.33
38037.00,12,,33.67
38037.00,13,,35
38037.00,14,,35
38037.00,15,,36.67
38037.00,16,,36
